uniprot	citation	commonname	rhea	substrate	product
Q9XHC6	16478469	CYP93E1	30991	10352	62459
Q2MJ11	23378447	CYP93E2	30991	10352	62459
B5BT05	18779566	CYP93E3	30991	10352	62459
A0A088LHH3	25453910	CYP93E4	30991	10352	62459
A0A088LUP1	25453910	CYP93E5	30991	10352	62459
A0A088LIS6	25453910	CYP93E6	30991	10352	62459
A0A088LHV2	25453910	CYP93E7	30991	10352	62459
A0A088LM09	25453910	CYP93E8	30991	10352	62459
A0A088LHH7	25453910	CYP93E9	30991	10352	62459
Q9XHC6	16478469	CYP93E1	30995	62458	9209
H1A980	22128119	CYP72A61v2		62459	9209